"Date","Price","Open","High","Low","Change %"
"07/30/2016","15.000","15.000","15.000","15.000","0.00%"
"07/29/2016","15.000","15.000","15.000","15.000","0.00%"
"07/28/2016","15.000","15.000","15.000","15.000","0.00%"
"07/27/2016","15.000","15.000","15.000","15.000","0.00%"
"07/26/2016","15.000","15.000","15.000","15.000","0.00%"
"07/25/2016","15.000","15.000","15.000","15.000","0.00%"
"07/22/2016","15.000","15.000","15.000","15.000","0.00%"
"07/21/2016","15.000","15.000","15.000","15.000","0.00%"
"07/20/2016","15.000","15.000","15.000","15.000","0.00%"
"07/19/2016","15.000","15.000","15.000","15.000","0.00%"
"07/18/2016","15.000","15.000","15.000","15.000","0.00%"
"07/15/2016","15.000","15.000","15.000","15.000","0.00%"
"07/14/2016","15.000","15.000","15.000","15.000","0.00%"
"07/13/2016","15.000","15.000","15.000","15.000","0.00%"
"07/12/2016","15.000","15.000","15.000","15.000","0.00%"
"07/11/2016","15.000","15.000","15.000","15.000","0.00%"
"07/08/2016","15.000","15.000","15.000","15.000","0.00%"
"07/07/2016","15.000","15.000","15.000","15.000","0.00%"
"07/06/2016","15.000","15.000","15.000","15.000","0.00%"
"07/05/2016","15.000","15.000","15.000","15.000","0.00%"
"07/04/2016","15.000","15.000","15.000","15.000","0.00%"
"07/01/2016","15.000","15.000","15.000","15.000","0.00%"
"06/30/2016","15.000","15.000","15.000","15.000","0.00%"
"06/29/2016","15.000","15.000","15.000","15.000","0.00%"
"06/28/2016","15.000","15.000","15.000","15.000","0.00%"
"06/27/2016","15.000","15.000","15.000","15.000","0.00%"
"06/24/2016","15.000","15.000","15.000","15.000","0.00%"
"06/23/2016","15.000","15.000","15.000","15.000","0.00%"
"06/22/2016","15.000","15.000","15.000","15.000","0.00%"
"06/21/2016","15.000","15.000","15.000","15.000","0.00%"
"06/20/2016","15.000","15.000","15.000","15.000","0.00%"
"06/17/2016","15.000","15.000","15.000","15.000","0.00%"
"06/16/2016","15.000","15.000","15.000","15.000","0.00%"
"06/15/2016","15.000","15.000","15.000","15.000","0.00%"
"06/14/2016","15.000","15.000","15.000","15.000","0.00%"
"06/13/2016","15.000","15.000","15.000","15.000","0.00%"
"06/10/2016","15.000","15.000","15.000","15.000","0.00%"
"06/09/2016","15.000","15.000","15.000","15.000","0.00%"
"06/08/2016","15.000","15.000","15.000","15.000","0.00%"
"06/07/2016","15.000","15.000","15.000","15.000","0.00%"
"06/06/2016","15.000","15.000","15.000","15.000","0.00%"
"06/03/2016","15.000","15.000","15.000","15.000","0.00%"
"06/02/2016","15.000","15.000","15.000","15.000","0.00%"
"06/01/2016","15.000","15.000","15.000","15.000","0.00%"
"05/31/2016","15.000","15.000","15.000","15.000","0.00%"
"05/30/2016","15.000","15.000","15.000","15.000","0.00%"
"05/27/2016","15.000","15.000","15.000","15.000","0.00%"
"05/26/2016","15.000","15.000","15.000","15.000","0.00%"
"05/25/2016","15.000","15.000","15.000","15.000","0.00%"
"05/24/2016","15.000","15.000","15.000","15.000","0.00%"
"05/23/2016","15.000","15.000","15.000","15.000","0.00%"
"05/20/2016","15.000","15.000","15.000","15.000","0.00%"
"05/19/2016","15.000","15.000","15.000","15.000","0.00%"
"05/18/2016","15.000","15.000","15.000","15.000","0.00%"
"05/17/2016","15.000","15.000","15.000","15.000","0.00%"
"05/16/2016","15.000","15.000","15.000","15.000","0.00%"
"05/13/2016","15.000","15.000","15.000","15.000","0.00%"
"05/12/2016","15.000","15.000","15.000","15.000","0.00%"
"05/11/2016","15.000","15.000","15.000","15.000","0.00%"
"05/10/2016","15.000","15.000","15.000","15.000","0.00%"
"05/09/2016","15.000","15.000","15.000","15.000","0.00%"
"05/06/2016","15.000","15.000","15.000","15.000","0.00%"
"05/05/2016","15.000","15.000","15.000","15.000","0.00%"
"05/04/2016","15.000","15.000","15.000","15.000","0.00%"
"05/03/2016","15.000","15.000","15.000","15.000","0.00%"
"05/02/2016","15.000","15.000","15.000","15.000","0.00%"
"04/29/2016","15.000","15.000","15.000","15.000","0.00%"
"04/28/2016","15.000","15.000","15.000","15.000","0.00%"
"04/27/2016","15.000","15.000","15.000","15.000","0.00%"
"04/26/2016","15.000","15.000","15.000","15.000","0.00%"
"04/25/2016","15.000","15.000","15.000","15.000","0.00%"
"04/22/2016","15.000","15.000","15.000","15.000","0.00%"
"04/21/2016","15.000","15.000","15.000","15.000","0.00%"
"04/20/2016","15.000","15.000","15.000","15.000","0.00%"
"04/19/2016","15.000","15.000","15.000","15.000","0.00%"
"04/18/2016","15.000","15.000","15.000","15.000","0.00%"
